State,Name,Type,Category,Cost,Rating,Location
Tamil Nadu,Sathars Restaurant,Activity,Food & Culinary,2200,4.4,Thanjavur
Tamil Nadu,Ekambareswarar Temple Visit,Culture,Culture & Heritage,200,4.7,Kanchipuram
Tamil Nadu,Silk Saree Shopping,Shopping,Shopping,5000,4.6,Kanchipuram
Tamil Nadu,Regency Kanchipuram,Hotel,Hotels & Stay,4000,4.3,Kanchipuram
Tamil Nadu,Hotel Tamil Nadu Kanchipuram,Hotel,Hotels & Stay,3000,4.1,Kanchipuram
Tamil Nadu,Pine Tree Hotel,Hotel,Hotels & Stay,2800,4.0,Kanchipuram
Tamil Nadu,Baboo Soorya Hotel,Hotel,Hotels & Stay,1900,3.8,Kanchipuram
Tamil Nadu,GRT Regency,Hotel,Hotels & Stay,2500,4.0,Kanchipuram
Tamil Nadu,Idli at Saravana Bhavan,Activity,Food & Culinary,250,4.5,Kanchipuram
Tamil Nadu,Kanchi Kudil Feast,Activity,Food & Culinary,1500,4.4,Kanchipuram
Tamil Nadu,Pagoda Point View,Activity,Nature & Relaxation,200,4.4,Yercaud
Tamil Nadu,Yercaud Lake Boating,Activity,Adventure,400,4.3,Yercaud
Tamil Nadu,Grand Palace Hotel & Spa,Hotel,Hotels & Stay,6000,4.5,Yercaud
Tamil Nadu,Sterling Yercaud,Hotel,Hotels & Stay,5500,4.4,Yercaud
Tamil Nadu,Hotel Shevaroys,Hotel,Hotels & Stay,4000,4.2,Yercaud
Tamil Nadu,TGI Star Holidays,Hotel,Hotels & Stay,2300,3.9,Yercaud
Tamil Nadu,Great Trails,Hotel,Hotels & Stay,1700,3.8,Yercaud
Tamil Nadu,Coffee Estate Tour & Tasting,Activity,Food & Culinary,350,4.4,Yercaud
Tamil Nadu,GRT Nature Trails Dining,Activity,Food & Culinary,2500,4.6,Yercaud
Tamil Nadu,Vivekananda Rock Memorial,Culture,Culture & Heritage,250,4.8,Kanyakumari
Tamil Nadu,Sunset Point Beach,Activity,Nature & Relaxation,100,4.6,Kanyakumari
Tamil Nadu,Sparsa Resort Kanyakumari,Hotel,Hotels & Stay,5500,4.5,Kanyakumari
Tamil Nadu,Hotel Sea View,Hotel,Hotels & Stay,4000,4.3,Kanyakumari
Tamil Nadu,Hotel Singaar International,Hotel,Hotels & Stay,3500,4.2,Kanyakumari
Tamil Nadu,Hotel Tri Sea,Hotel,Hotels & Stay,2200,3.9,Kanyakumari
Tamil Nadu,Maadhini Hotel,Hotel,Hotels & Stay,1600,3.7,Kanyakumari
Tamil Nadu,Beach Side Street Food,Activity,Food & Culinary,200,4.3,Kanyakumari
Tamil Nadu,SeaShore Restaurant,Activity,Food & Culinary,1800,4.5,Kanyakumari
Kerala,Houseboat Backwater Cruise,Activity,Nature & Relaxation,8000,4.8,Alleppey
Kerala,Backwater Village Tour,Culture,Culture & Heritage,1200,4.5,Alleppey
Kerala,The Zuri Kumarakom,Hotel,Hotels & Stay,15000,4.9,Alleppey
Kerala,Ramada Resort Kochi,Hotel,Hotels & Stay,8000,4.5,Alleppey
Kerala,Lake Palace Resort,Hotel,Hotels & Stay,6500,4.4,Alleppey
Kerala,Alleppey Beach Resorts,Hotel,Hotels & Stay,2700,4.0,Alleppey
Kerala,Palmgrove Lake Resort,Hotel,Hotels & Stay,1800,3.9,Alleppey
Kerala,Traditional Kerala Sadhya,Activity,Food & Culinary,400,4.7,Alleppey
Kerala,Karimeen Pollichathu at Thaff,Activity,Food & Culinary,2500,4.8,Alleppey
Kerala,Tea Plantation Tour,Activity,Nature & Relaxation,1200,4.7,Munnar
Kerala,Eravikulam National Park,Activity,Adventure,800,4.6,Munnar
Kerala,The Tall Trees Munnar,Hotel,Hotels & Stay,9000,4.6,Munnar
Kerala,Club Mahindra Munnar,Hotel,Hotels & Stay,7500,4.5,Munnar
Kerala,Tea County Resort,Hotel,Hotels & Stay,5500,4.3,Munnar
Kerala,Misty Mountain Resort,Hotel,Hotels & Stay,2900,4.1,Munnar
Kerala,Sree Mahaveer Residency,Hotel,Hotels & Stay,1600,3.8,Munnar
Kerala,Tea & Snacks at Plantation,Activity,Food & Culinary,300,4.5,Munnar
Kerala,Saravana Bhavan Fine Dining,Activity,Food & Culinary,2200,4.6,Munnar
Kerala,Fort Kochi Heritage Walk,Culture,Culture & Heritage,600,4.6,Kochi
Kerala,Spice Market Shopping,Shopping,Shopping,1500,4.2,Kochi
Kerala,Kathakali Performance,Culture,Culture & Heritage,800,4.7,Kochi
Kerala,Taj Malabar Resort & Spa,Hotel,Hotels & Stay,12000,4.8,Kochi
Kerala,Casino Hotel Kochi,Hotel,Hotels & Stay,6500,4.4,Kochi
Kerala,Brunton Boatyard,Hotel,Hotels & Stay,15000,4.7,Kochi
Kerala,Hotel Arches,Hotel,Hotels & Stay,2400,4.0,Kochi
Kerala,Keys Hotel Kochi,Hotel,Hotels & Stay,1900,3.9,Kochi
Kerala,Street Food at Broadway,Activity,Food & Culinary,350,4.5,Kochi
Kerala,Fort House Restaurant,Activity,Food & Culinary,3000,4.7,Kochi
Kerala,Periyar Wildlife Sanctuary,Activity,Adventure,1500,4.6,Thekkady
Kerala,Spice Plantation Tour,Activity,Nature & Relaxation,800,4.4,Thekkady
Kerala,Spice Village CGH,Hotel,Hotels & Stay,8500,4.7,Thekkady
Kerala,Cardamom County,Hotel,Hotels & Stay,6000,4.5,Thekkady
Kerala,Elephant Court,Hotel,Hotels & Stay,4500,4.3,Thekkady
Kerala,Hotel Treetop,Hotel,Hotels & Stay,2600,4.0,Thekkady
Kerala,Woodlands Hotel,Hotel,Hotels & Stay,1700,3.8,Thekkady
Kerala,Local Kerala Meals,Activity,Food & Culinary,250,4.4,Thekkady
Kerala,Spice Garden Restaurant,Activity,Food & Culinary,2400,4.6,Thekkady
Kerala,Lighthouse Beach Activities,Activity,Nature & Relaxation,1000,4.4,Kovalam
Kerala,Ayurvedic Spa Treatment,Activity,Nature & Relaxation,2500,4.6,Kovalam
Kerala,The Leela Kovalam,Hotel,Hotels & Stay,18000,4.8,Kovalam
Kerala,Turtle on the Beach,Hotel,Hotels & Stay,8000,4.5,Kovalam
Kerala,Uday Suites,Hotel,Hotels & Stay,4500,4.2,Kovalam
Kerala,Hotel Beach & Lake,Hotel,Hotels & Stay,2800,4.0,Kovalam
Kerala,Kovalam Beach Hotel,Hotel,Hotels & Stay,1500,3.8,Kovalam
Kerala,Beach Shack Seafood,Activity,Food & Culinary,500,4.5,Kovalam
Kerala,Bait at Leela Restaurant,Activity,Food & Culinary,3500,4.8,Kovalam
Kerala,Chembra Peak Trekking,Activity,Adventure,1200,4.7,Wayanad
Kerala,Edakkal Caves Tour,Culture,Culture & Heritage,400,4.5,Wayanad
Kerala,Vythiri Resort,Hotel,Hotels & Stay,7000,4.6,Wayanad
Kerala,AfterTheRains Resort,Hotel,Hotels & Stay,5500,4.4,Wayanad
Kerala,Banasura Hill Resort,Hotel,Hotels & Stay,6500,4.5,Wayanad
Kerala,Green Gates Hotel,Hotel,Hotels & Stay,2500,4.0,Wayanad
Kerala,Wayanad Gate Hotel,Hotel,Hotels & Stay,1600,3.8,Wayanad
Kerala,Tribal Food Experience,Activity,Food & Culinary,600,4.6,Wayanad
Kerala,Wilton Restaurant,Activity,Food & Culinary,2600,4.5,Wayanad
Kerala,Bird Sanctuary Visit,Activity,Nature & Relaxation,600,4.5,Kumarakom
Kerala,Coconut Lagoon CGH,Hotel,Hotels & Stay,12000,4.7,Kumarakom
Kerala,Kumarakom Lake Resort,Hotel,Hotels & Stay,10000,4.6,Kumarakom
Kerala,Backwater Ripples,Hotel,Hotels & Stay,5000,4.3,Kumarakom
Kerala,Lakesong Resort,Hotel,Hotels & Stay,2900,4.0,Kumarakom
Kerala,Paradise Resorts,Hotel,Hotels & Stay,1800,3.9,Kumarakom
Kerala,Kerala Home Cooking Class,Activity,Food & Culinary,800,4.7,Kumarakom
Kerala,Ettukettu Restaurant,Activity,Food & Culinary,3200,4.8,Kumarakom
Kerala,Cliff Beach Sunset,Activity,Nature & Relaxation,500,4.6,Varkala
Kerala,Janardhana Swamy Temple,Culture,Culture & Heritage,100,4.4,Varkala
Kerala,Taj Gateway Varkala,Hotel,Hotels & Stay,9000,4.5,Varkala
Kerala,The Gateway Hotel,Hotel,Hotels & Stay,8500,4.4,Varkala
Kerala,Clafouti Beach Resort,Hotel,Hotels & Stay,5500,4.3,Varkala
Kerala,Villa Jacaranda,Hotel,Hotels & Stay,2700,4.0,Varkala
Kerala,Oceanic Hotel,Hotel,Hotels & Stay,1900,3.8,Varkala
Kerala,Cliff Top Cafe Hopping,Activity,Food & Culinary,400,4.5,Varkala
Kerala,Darjeeling Cafe Fine Dining,Activity,Food & Culinary,2800,4.7,Varkala
Kerala,Bekal Fort Exploration,Culture,Culture & Heritage,300,4.5,Bekal
Kerala,Beach Photography,Activity,Nature & Relaxation,400,4.3,Bekal
Kerala,Vivanta by Taj Bekal,Hotel,Hotels & Stay,15000,4.8,Bekal
Kerala,The LaLit Resort & Spa,Hotel,Hotels & Stay,12000,4.6,Bekal
Kerala,Kanan Beach Resort,Hotel,Hotels & Stay,6000,4.2,Bekal
Kerala,Gitanjali Heritage,Hotel,Hotels & Stay,2400,3.9,Bekal
Kerala,The Lalit Beach Resort,Hotel,Hotels & Stay,1700,3.8,Bekal
Kerala,Local Seafood Thali,Activity,Food & Culinary,350,4.4,Bekal
Kerala,Latitude at The LaLit,Activity,Food & Culinary,3500,4.7,Bekal
Kerala,Waterfall Trekking,Activity,Adventure,800,4.6,Athirappilly
Kerala,Rainforest Resort,Hotel,Hotels & Stay,4500,4.3,Athirappilly
Kerala,River Retreat,Hotel,Hotels & Stay,3800,4.1,Athirappilly
Kerala,Bethsaida Hermitage,Hotel,Hotels & Stay,5200,4.4,Athirappilly
Kerala,Green Trees Resort,Hotel,Hotels & Stay,2300,3.9,Athirappilly
Kerala,Athirappilly Residency,Hotel,Hotels & Stay,1600,3.7,Athirappilly
Kerala,Village Food Walk,Activity,Food & Culinary,500,4.5,Athirappilly
Kerala,Rainforest Restaurant,Activity,Food & Culinary,2500,4.6,Athirappilly
Andhra Pradesh,Tirupati Temple Darshan,Culture,Culture & Heritage,1000,4.8,Tirupati
Andhra Pradesh,TTD Kalyana Mandapam,Hotel,Hotels & Stay,2500,4.3,Tirupati
Andhra Pradesh,Fortune Select Grand Ridge,Hotel,Hotels & Stay,4500,4.6,Tirupati
Andhra Pradesh,Marasa Sarovar Premiere,Hotel,Hotels & Stay,5000,4.7,Tirupati
Andhra Pradesh,Mayura Inn,Hotel,Hotels & Stay,2000,3.9,Tirupati
Andhra Pradesh,Bhimas Residency,Hotel,Hotels & Stay,1500,3.7,Tirupati
Andhra Pradesh,Prasadam at Temple,Activity,Food & Culinary,200,4.7,Tirupati
Andhra Pradesh,Andhra Meals at Marasa,Activity,Food & Culinary,1800,4.5,Tirupati
Andhra Pradesh,Submarine Museum Visit,Culture,Culture & Heritage,300,4.4,Visakhapatnam
Andhra Pradesh,Ramakrishna Beach Walk,Activity,Nature & Relaxation,200,4.2,Visakhapatnam
Andhra Pradesh,The Park Visakhapatnam,Hotel,Hotels & Stay,6000,4.8,Visakhapatnam
Andhra Pradesh,Novotel Visakhapatnam,Hotel,Hotels & Stay,7000,4.7,Visakhapatnam
Andhra Pradesh,Green Park Hotel,Hotel,Hotels & Stay,4000,4.5,Visakhapatnam
Andhra Pradesh,Hotel Daspalla,Hotel,Hotels & Stay,2800,4.0,Visakhapatnam
Andhra Pradesh,Meghalaya Guest House,Hotel,Hotels & Stay,1700,3.8,Visakhapatnam
Andhra Pradesh,Beach Food Stalls,Activity,Food & Culinary,300,4.3,Visakhapatnam
Andhra Pradesh,Flying Spaghetti Monster,Activity,Food & Culinary,2500,4.6,Visakhapatnam
Andhra Pradesh,Coffee Plantation Tour,Activity,Nature & Relaxation,800,4.6,Araku Valley
Andhra Pradesh,Araku Valley Resort,Hotel,Hotels & Stay,3500,4.4,Araku Valley
Andhra Pradesh,Hill View Resort,Hotel,Hotels & Stay,2800,4.2,Araku Valley
Andhra Pradesh,Punnami Hill Resort,Hotel,Hotels & Stay,3200,4.3,Araku Valley
Andhra Pradesh,Araku Valley Hotel,Hotel,Hotels & Stay,2100,3.9,Araku Valley
Andhra Pradesh,Valley View Guest House,Hotel,Hotels & Stay,1500,3.7,Araku Valley
Andhra Pradesh,Tribal Food Experience,Activity,Food & Culinary,400,4.5,Araku Valley
Andhra Pradesh,Coffee House Restaurant,Activity,Food & Culinary,1800,4.4,Araku Valley
Andhra Pradesh,Cave Exploration Tour,Activity,Adventure,400,4.5,Borra Caves
Andhra Pradesh,Cave View Resort,Hotel,Hotels & Stay,2500,4.1,Borra Caves
Andhra Pradesh,Limestone Lodge,Hotel,Hotels & Stay,2200,4.0,Borra Caves
Andhra Pradesh,Nature's Retreat,Hotel,Hotels & Stay,2800,4.2,Borra Caves
Andhra Pradesh,Hill Station Inn,Hotel,Hotels & Stay,1900,3.8,Borra Caves
Andhra Pradesh,Borra Comfort Stay,Hotel,Hotels & Stay,1500,3.6,Borra Caves
Andhra Pradesh,Local Andhra Thali,Activity,Food & Culinary,250,4.2,Borra Caves
Andhra Pradesh,Cave View Restaurant,Activity,Food & Culinary,1500,4.3,Borra Caves
Andhra Pradesh,Kanaka Durga Temple,Culture,Culture & Heritage,200,4.6,Vijayawada
Andhra Pradesh,Krishna River Cruise,Activity,Nature & Relaxation,600,4.3,Vijayawada
Andhra Pradesh,Hotel Manorama,Hotel,Hotels & Stay,3200,4.4,Vijayawada
Andhra Pradesh,Fortune Murali Park,Hotel,Hotels & Stay,4800,4.6,Vijayawada
Andhra Pradesh,Raj Park Hotel,Hotel,Hotels & Stay,3800,4.3,Vijayawada
Andhra Pradesh,Hotel Midcity,Hotel,Hotels & Stay,2200,3.9,Vijayawada
Andhra Pradesh,Hotel Southern Grand,Hotel,Hotels & Stay,1600,3.7,Vijayawada
Andhra Pradesh,Street Food at MG Road,Activity,Food & Culinary,300,4.5,Vijayawada
Andhra Pradesh,Babai Hotel Dining,Activity,Food & Culinary,2000,4.4,Vijayawada
Andhra Pradesh,Buddhist Heritage Tour,Culture,Culture & Heritage,500,4.5,Amaravati
Andhra Pradesh,Heritage Inn Amaravati,Hotel,Hotels & Stay,2800,4.2,Amaravati
Andhra Pradesh,Capital City Resort,Hotel,Hotels & Stay,3500,4.4,Amaravati
Andhra Pradesh,River View Lodge,Hotel,Hotels & Stay,2400,4.0,Amaravati
Andhra Pradesh,Buddha Inn,Hotel,Hotels & Stay,1800,3.8,Amaravati
Andhra Pradesh,Amaravati Residency,Hotel,Hotels & Stay,1500,3.6,Amaravati
Andhra Pradesh,Local Vegetarian Meals,Activity,Food & Culinary,200,4.3,Amaravati
Andhra Pradesh,Heritage Restaurant,Activity,Food & Culinary,1700,4.4,Amaravati
Andhra Pradesh,Veerabhadra Temple Art,Culture,Culture & Heritage,300,4.7,Lepakshi
Andhra Pradesh,Temple View Resort,Hotel,Hotels & Stay,2600,4.1,Lepakshi
Andhra Pradesh,Heritage Stone Hotel,Hotel,Hotels & Stay,3000,4.3,Lepakshi
Andhra Pradesh,Anantapur Lodge,Hotel,Hotels & Stay,2200,3.9,Lepakshi
Andhra Pradesh,Temple Stay Guest House,Hotel,Hotels & Stay,1700,3.7,Lepakshi
Andhra Pradesh,Lepakshi Inn,Hotel,Hotels & Stay,1500,3.5,Lepakshi
Andhra Pradesh,Village Food Tour,Activity,Food & Culinary,350,4.4,Lepakshi
Andhra Pradesh,Heritage Stone Dining,Activity,Food & Culinary,1600,4.3,Lepakshi
Andhra Pradesh,Hill Station Trekking,Activity,Adventure,700,4.4,Horsley Hills
Andhra Pradesh,Horsley Hills Resort,Hotel,Hotels & Stay,3200,4.3,Horsley Hills
Andhra Pradesh,Mountain Retreat,Hotel,Hotels & Stay,2900,4.1,Horsley Hills
Andhra Pradesh,Hill Top Hotel,Hotel,Hotels & Stay,2600,4.0,Horsley Hills
Andhra Pradesh,Eco Resort,Hotel,Hotels & Stay,2000,3.8,Horsley Hills
Andhra Pradesh,Hillside Inn,Hotel,Hotels & Stay,1500,3.6,Horsley Hills
Andhra Pradesh,Local Snacks Tour,Activity,Food & Culinary,250,4.2,Horsley Hills
Andhra Pradesh,Mountain View Restaurant,Activity,Food & Culinary,1800,4.4,Horsley Hills
Andhra Pradesh,Mallikarjuna Temple Visit,Culture,Culture & Heritage,400,4.8,Srisailam
Andhra Pradesh,Tiger Reserve Safari,Activity,Adventure,1800,4.5,Srisailam
Andhra Pradesh,Punnami Srisailam,Hotel,Hotels & Stay,3500,4.4,Srisailam
Andhra Pradesh,Temple Town Lodge,Hotel,Hotels & Stay,2800,4.2,Srisailam
Andhra Pradesh,Forest View Resort,Hotel,Hotels & Stay,3200,4.3,Srisailam
Andhra Pradesh,Srisailam Residency,Hotel,Hotels & Stay,2100,3.9,Srisailam
Andhra Pradesh,Pilgrims Rest House,Hotel,Hotels & Stay,1500,3.6,Srisailam
Andhra Pradesh,Temple Prasadam Experience,Activity,Food & Culinary,150,4.6,Srisailam
Andhra Pradesh,Punnami Restaurant,Activity,Food & Culinary,1900,4.4,Srisailam
Andhra Pradesh,Grand Canyon Photography,Activity,Adventure,500,4.6,Gandikota
Andhra Pradesh,Gandikota Fort Exploration,Culture,Culture & Heritage,200,4.4,Gandikota
Andhra Pradesh,Canyon View Resort,Hotel,Hotels & Stay,2800,4.2,Gandikota
Andhra Pradesh,Desert Rock Hotel,Hotel,Hotels & Stay,2400,4.0,Gandikota
Andhra Pradesh,Fort Heritage Stay,Hotel,Hotels & Stay,2600,4.1,Gandikota
Andhra Pradesh,Camping Grounds,Hotel,Hotels & Stay,1800,3.8,Gandikota
Andhra Pradesh,Adventure Guest House,Hotel,Hotels & Stay,1500,3.6,Gandikota
Andhra Pradesh,Campfire BBQ Experience,Activity,Food & Culinary,600,4.5,Gandikota
Andhra Pradesh,Canyon View Restaurant,Activity,Food & Culinary,2200,4.4,Gandikota
Karnataka,Mysore Palace Tour,Culture,Culture & Heritage,1000,4.8,Mysore
Karnataka,Devaraja Market Shopping,Shopping,Shopping,800,4.2,Mysore
Karnataka,The Lalitha Mahal Palace,Hotel,Hotels & Stay,8000,4.7,Mysore
Karnataka,Hotel Mayura Hoysala,Hotel,Hotels & Stay,3500,4.3,Mysore
Karnataka,Royal Orchid Metropole,Hotel,Hotels & Stay,6000,4.5,Mysore
Karnataka,Hotel Roopa,Hotel,Hotels & Stay,2400,4.0,Mysore
Karnataka,Sandesh The Prince,Hotel,Hotels & Stay,1800,3.8,Mysore
Karnataka,Mysore Pak Tasting Tour,Activity,Food & Culinary,300,4.6,Mysore
Karnataka,RRR Restaurant Dining,Activity,Food & Culinary,2500,4.7,Mysore
Karnataka,Coffee Plantation Stay,Activity,Nature & Relaxation,1500,4.7,Coorg
Karnataka,Abbey Falls Trek,Activity,Adventure,400,4.5,Coorg
Karnataka,The Tamara Coorg,Hotel,Hotels & Stay,12000,4.8,Coorg
Karnataka,Club Mahindra Madikeri,Hotel,Hotels & Stay,7000,4.6,Coorg
Karnataka,Orange County Resort,Hotel,Hotels & Stay,9500,4.7,Coorg
Karnataka,Coorg Wilderness Resort,Hotel,Hotels & Stay,2900,4.1,Coorg
Karnataka,Hotel Coorg International,Hotel,Hotels & Stay,1700,3.8,Coorg
Karnataka,Coorgi Cuisine Homestay,Activity,Food & Culinary,500,4.7,Coorg
Karnataka,Raintree Restaurant,Activity,Food & Culinary,2800,4.6,Coorg
Karnataka,Vijayanagara Ruins Tour,Culture,Culture & Heritage,800,4.9,Hampi
Karnataka,Coracle Ride Tungabhadra,Activity,Adventure,300,4.4,Hampi
Karnataka,Hampi's Boulders Resort,Hotel,Hotels & Stay,4500,4.5,Hampi
Karnataka,Kishkinda Heritage Resort,Hotel,Hotels & Stay,3800,4.3,Hampi
Karnataka,Clarks Inn Hampi,Hotel,Hotels & Stay,3200,4.2,Hampi
Karnataka,Mowgli Guest House,Hotel,Hotels & Stay,2000,3.9,Hampi
Karnataka,Gopi Guest House,Hotel,Hotels & Stay,1500,3.7,Hampi
Karnataka,Mango Tree Restaurant,Activity,Food & Culinary,400,4.5,Hampi
Karnataka,Heritage Restaurant Hampi,Activity,Food & Culinary,2000,4.4,Hampi
Karnataka,Lalbagh Botanical Garden,Activity,Nature & Relaxation,200,4.4,Bangalore
Karnataka,UB City Mall Shopping,Shopping,Shopping,2000,4.3,Bangalore
Karnataka,Brigade Road Food Walk,Activity,Food & Culinary,1200,4.5,Bangalore
Karnataka,The Leela Palace Bengaluru,Hotel,Hotels & Stay,15000,4.9,Bangalore
Karnataka,ITC Gardenia,Hotel,Hotels & Stay,12000,4.7,Bangalore
Karnataka,The Oberoi Bengaluru,Hotel,Hotels & Stay,18000,4.8,Bangalore
Karnataka,Hotel Empire,Hotel,Hotels & Stay,2700,4.0,Bangalore
Karnataka,Woodlands Hotel,Hotel,Hotels & Stay,1900,3.8,Bangalore
Karnataka,VV Puram Food Street,Activity,Food & Culinary,300,4.7,Bangalore
Karnataka,Karavalli Fine Dining,Activity,Food & Culinary,3500,4.8,Bangalore
Karnataka,Om Beach Yoga Session,Activity,Nature & Relaxation,800,4.6,Gokarna
Karnataka,Mahabaleshwar Temple,Culture,Culture & Heritage,100,4.5,Gokarna
Karnataka,SwaSwara Resort,Hotel,Hotels & Stay,20000,4.8,Gokarna
Karnataka,Namaste Sanjeevini,Hotel,Hotels & Stay,4500,4.4,Gokarna
Karnataka,Om Beach Resort,Hotel,Hotels & Stay,3500,4.2,Gokarna
Karnataka,Gokarna International Beach Resort,Hotel,Hotels & Stay,2600,4.0,Gokarna
Karnataka,Zostel Gokarna,Hotel,Hotels & Stay,1500,3.9,Gokarna
